iter	Passed	Remaining
0	154	154059
1	155	77410
2	156	51958
3	157	39173
4	158	31513
5	159	26439
6	160	22804
7	162	20092
8	163	17957
9	163	16235
10	164	14831
11	165	13665
12	166	12678
13	167	11828
14	169	11098
15	170	10457
16	171	9894
17	172	9393
18	173	8951
19	174	8546
20	175	8176
21	176	7837
22	177	7533
23	178	7250
24	179	6990
25	180	6755
26	181	6525
27	182	6322
28	183	6132
29	183	5947
30	184	5775
31	185	5611
32	186	5458
33	186	5312
34	187	5175
35	188	5046
36	189	4922
37	189	4805
38	190	4694
39	191	4588
40	191	4488
41	192	4391
42	193	4300
43	193	4212
44	194	4128
45	195	4050
46	195	3973
47	196	3901
48	197	3833
49	198	3767
50	199	3703
51	199	3640
52	200	3580
53	201	3523
54	201	3469
55	202	3417
56	203	3367
57	204	3317
58	204	3268
59	205	3221
60	206	3176
61	206	3131
62	207	3089
63	208	3047
64	209	3009
65	209	2970
66	210	2932
67	211	2895
68	211	2859
69	212	2825
70	213	2793
71	214	2760
72	214	2729
73	215	2700
74	216	2671
75	217	2643
76	218	2614
77	218	2586
78	219	2559
79	220	2532
80	220	2506
81	221	2481
82	222	2456
83	223	2432
84	223	2407
85	224	2384
86	225	2361
87	225	2338
88	226	2316
89	226	2295
90	227	2274
91	228	2255
92	229	2236
93	230	2218
94	231	2200
95	231	2183
96	232	2166
97	233	2148
98	234	2130
99	234	2113
100	235	2096
101	236	2079
102	236	2063
103	237	2046
104	238	2031
105	239	2015
106	239	2000
107	240	1985
108	241	1971
109	241	1956
110	242	1941
111	243	1927
112	243	1915
113	244	1902
114	245	1889
115	246	1876
116	246	1863
117	247	1851
118	248	1839
119	249	1826
120	249	1814
121	250	1803
122	251	1793
123	252	1782
124	253	1772
125	254	1762
126	254	1751
127	255	1740
128	256	1729
129	256	1718
130	257	1708
131	258	1698
132	258	1688
133	259	1678
134	260	1669
135	261	1660
136	262	1650
137	262	1641
138	263	1632
139	264	1623
140	264	1613
141	265	1604
142	266	1595
143	266	1586
144	267	1577
145	268	1569
146	268	1560
147	269	1552
148	270	1543
149	271	1535
150	271	1527
151	272	1520
152	273	1512
153	274	1505
154	274	1496
155	275	1489
156	276	1482
157	276	1474
158	277	1467
159	278	1460
160	278	1453
161	279	1446
162	280	1438
163	280	1431
164	281	1424
165	282	1417
